re	chr	start	end	atac	starr	fantom5	length	nguides
RE67	chrX	103523501	103524375	FALSE	TRUE	FALSE	874	44
RE68	chrX	103525863	103526791	TRUE	FALSE	TRUE	928	87
RE69	chrX	103527405	103528312	FALSE	TRUE	FALSE	907	14
RE70	chrX	103529049	103530015	TRUE	TRUE	TRUE	966	46
RE71	chrX	103532715	103534091	TRUE	FALSE	FALSE	1376	54
RE72	chrX	103540931	103541496	TRUE	FALSE	FALSE	565	39
RE73	chrX	103551390	103551747	TRUE	FALSE	TRUE	357	33
RE74	chrX	103553407	103554538	TRUE	FALSE	FALSE	1131	43
RE75	chrX	103555056	103555459	TRUE	FALSE	TRUE	403	12
RE76	chrX	103555808	103557340	TRUE	FALSE	TRUE	1532	76
RE77	chrX	103562242	103563546	TRUE	TRUE	FALSE	1304	37
RE78	chrX	103574977	103575970	FALSE	TRUE	FALSE	993	39
RE79	chrX	103583789	103585003	TRUE	TRUE	FALSE	1214	61
RE80	chrX	103590364	103591353	FALSE	TRUE	FALSE	989	43
RE81	chrX	103592094	103593905	FALSE	TRUE	FALSE	1811	55
RE82	chrX	103597010	103598162	FALSE	TRUE	FALSE	1152	38
RE83	chrX	103611477	103611796	TRUE	FALSE	FALSE	319	28
RE84	chrX	103613828	103615455	TRUE	TRUE	FALSE	1627	104
RE85	chrX	103616256	103617411	TRUE	FALSE	TRUE	1155	100
RE86	chrX	103619097	103619811	FALSE	TRUE	FALSE	714	12
RE87	chrX	103621724	103622678	TRUE	FALSE	TRUE	954	84
RE88	chrX	103623432	103624773	TRUE	FALSE	FALSE	1341	73
RE89	chrX	103628480	103629147	TRUE	FALSE	FALSE	667	28
RE90	chrX	103630178	103631206	TRUE	TRUE	FALSE	1028	99
RE91	chrX	103632918	103633925	FALSE	TRUE	FALSE	1007	12
RE92	chrX	103635079	103635280	TRUE	FALSE	FALSE	201	13
RE93	chrX	103636121	103637673	TRUE	TRUE	TRUE	1552	92
RE94	chrX	103639680	103640846	FALSE	TRUE	FALSE	1166	29
RE95	chrX	103646258	103646798	TRUE	FALSE	FALSE	540	11
RE96	chrX	103648266	103649002	TRUE	FALSE	FALSE	736	57
RE97	chrX	103651935	103653380	TRUE	FALSE	TRUE	1445	65
RE98	chrX	103657903	103658864	FALSE	TRUE	FALSE	961	28
RE99	chrX	103663770	103665614	FALSE	TRUE	TRUE	1844	43
RE100	chrX	103667620	103668566	FALSE	TRUE	FALSE	946	19
RE101	chrX	103673704	103673928	TRUE	FALSE	FALSE	224	26
RE102	chrX	103674674	103674974	TRUE	FALSE	FALSE	300	27
RE103	chrX	103676791	103678725	TRUE	TRUE	FALSE	1934	33
RE104	chrX	103681860	103682228	TRUE	FALSE	FALSE	368	13
RE105	chrX	103694282	103695801	TRUE	FALSE	TRUE	1519	159
RE106	chrX	103695802	103696734	TRUE	FALSE	TRUE	932	59
RE107	chrX	103698199	103699055	FALSE	TRUE	FALSE	856	83
RE108	chrX	103727724	103729023	FALSE	TRUE	FALSE	1299	50
RE109	chrX	103789174	103789889	FALSE	TRUE	FALSE	715	12
RE110	chrX	103819341	103820104	TRUE	FALSE	FALSE	763	84
RE111	chrX	103820285	103821572	TRUE	FALSE	FALSE	1287	168
RE112	chrX	103821573	103822864	TRUE	FALSE	FALSE	1291	160
RE113	chrX	103828325	103829038	FALSE	TRUE	FALSE	713	68
RE114	chrX	103879221	103880048	TRUE	FALSE	FALSE	827	67
RE115	chrX	103914916	103915133	TRUE	FALSE	FALSE	217	7
RE116	chrX	103922046	103922964	TRUE	TRUE	FALSE	918	54
RE117	chrX	103944058	103945082	FALSE	TRUE	FALSE	1024	22
RE118	chrX	103946507	103947235	TRUE	TRUE	FALSE	728	16
RE119	chrX	103952734	103954223	TRUE	TRUE	FALSE	1489	48
RE120	chrX	103955450	103957063	TRUE	FALSE	FALSE	1613	98
RE121	chrX	103957212	103958633	TRUE	TRUE	FALSE	1421	75
RE122	chrX	103958634	103959714	FALSE	TRUE	FALSE	1080	54
RE123	chrX	103962516	103964012	TRUE	TRUE	FALSE	1496	124
RE124	chrX	103967012	103967237	TRUE	FALSE	FALSE	225	14
RE125	chrX	103973762	103974789	TRUE	FALSE	FALSE	1027	42
RE126	chrX	103976421	103978204	FALSE	TRUE	FALSE	1783	67
RE127	chrX	103979894	103981717	TRUE	TRUE	FALSE	1823	256
RE128	chrX	103981718	103983084	TRUE	TRUE	TRUE	1366	62
RE129	chrX	103984452	103985846	TRUE	TRUE	FALSE	1394	45
RE130	chrX	103986362	103988235	TRUE	TRUE	FALSE	1873	88
RE131	chrX	103991735	103992025	TRUE	FALSE	FALSE	290	12
RE132	chrX	103997701	103997933	TRUE	FALSE	FALSE	232	5
RE133	chrX	104013204	104013662	TRUE	FALSE	FALSE	458	35
RE134	chrX	104014768	104015791	TRUE	FALSE	FALSE	1023	45
RE135	chrX	104016129	104017404	FALSE	TRUE	FALSE	1275	38
RE136	chrX	104022456	104023765	TRUE	TRUE	FALSE	1309	32
RE137	chrX	104032885	104034546	TRUE	TRUE	FALSE	1661	54
RE138	chrX	104043658	104044392	TRUE	FALSE	FALSE	734	64
